# Above 285 hits
# seed | (motifHits, avgDiff, mapDiff)
0   | (285, 2.92,   {0: 0, 1: 104, 2: 0, 3: 74, 4: 0, 5: 92, 6: 15, 7: 2, 8: 0, 9: 1, 10: 0})
1   | (289, 2.37,   {0: 91, 1: 59, 2: 0, 3: 0, 4: 43, 5: 96, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
2   | (286, 2.10,   {0: 89, 1: 0, 2: 89, 3: 0, 4: 103, 5: 0, 6: 0, 7: 0, 8: 4, 9: 1, 10: 0})
5   | (292, 2.24,   {0: 94, 1: 43, 2: 0, 3: 0, 4: 153, 5: 0, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
8   | (287, 4.50,   {0: 0, 1: 0, 2: 0, 3: 0, 4: 91, 5: 195, 6: 1, 7: 0, 8: 2, 9: 1, 10: 0})
16  | (286, 1.69,   {0: 103, 1: 0, 2: 94, 3: 36, 4: 53, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
17  | (288, 2.88,   {0: 0, 1: 0, 2: 91, 3: 105, 4: 92, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
26  | (286, 1.94,   {0: 97, 1: 0, 2: 89, 3: 0, 4: 99, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
30  | (287, 0.63,   {0: 136, 1: 113, 2: 38, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
37  | (293, 3.26,   {0: 97, 1: 0, 2: 0, 3: 0, 4: 0, 5: 196, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
42  | (289, 1.55,   {0: 0, 1: 156, 2: 88, 3: 45, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
45  | (285, 1.93,   {0: 90, 1: 99, 2: 0, 3: 0, 4: 0, 5: 96, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
48  | (286, 2.48,   {0: 99, 1: 32, 2: 0, 3: 0, 4: 61, 5: 95, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1})
52  | (289, 2.30,   {0: 92, 1: 44, 2: 0, 3: 59, 4: 0, 5: 94, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
69  | (286, 2.79,   {0: 0, 1: 101, 2: 0, 3: 94, 4: 0, 5: 91, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
88  | (285, 2.39,   {0: 41, 1: 99, 2: 0, 3: 53, 4: 0, 5: 92, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0})
91  | (288, 0.30,   {0: 197, 1: 91, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1})
104 | (292, 0.94,   {0: 101, 1: 99, 2: 92, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
108 | (288, 0.93,   {0: 103, 1: 91, 2: 94, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
124 | (286, 1.82,   {0: 102, 1: 0, 2: 94, 3: 0, 4: 90, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
141 | (288, 1.27,   {0: 90, 1: 138, 2: 0, 3: 0, 4: 59, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
146 | (288, 1.74,   {0: 90, 1: 38, 2: 56, 3: 46, 4: 57, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
147 | (289, 2.48,   {0: 91, 1: 0, 2: 0, 3: 104, 4: 37, 5: 57, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
175 | (285, 3.87,   {0: 0, 1: 50, 2: 0, 3: 40, 4: 46, 5: 92, 6: 55, 7: 1, 8: 4, 9: 0, 10: 0})
184 | (287, 0.98,   {0: 88, 1: 104, 2: 95, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
186 | (288, 2.07,   {0: 94, 1: 88, 2: 0, 3: 0, 4: 0, 5: 105, 6: 1, 7: 0, 8: 1, 9: 2, 10: 0})
196 | (292, 1.29,   {0: 96, 1: 49, 2: 101, 3: 46, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
234 | (289, 2.6,    {0: 97, 1: 0, 2: 0, 3: 44, 4: 92, 5: 56, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
247 | (287, 0.87,   {0: 135, 1: 49, 2: 102, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
256 | (286, 1.93,   {0: 0, 1: 93, 2: 93, 3: 100, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
270 | (288, 3.21,   {0: 0, 1: 0, 2: 93, 3: 98, 4: 0, 5: 97, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
272 | (293, 2.17,   {0: 0, 1: 110, 2: 43, 3: 104, 4: 36, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
276 | (290, 2.10,   {0: 90, 1: 0, 2: 92, 3: 0, 4: 104, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
288 | (288, 0.93,   {0: 99, 1: 97, 2: 92, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
298 | (285, 2.9,    {0: 0, 1: 0, 2: 95, 3: 88, 4: 100, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
