# seed | (motifHits, avgDiff, mapDiff)
0   | (285, 2.92,   {0: 0, 1: 104, 2: 0, 3: 74, 4: 0, 5: 92, 6: 15, 7: 2, 8: 0, 9: 1, 10: 0})
1   | (289, 2.37,   {0: 91, 1: 59, 2: 0, 3: 0, 4: 43, 5: 96, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
2   | (286, 2.10,   {0: 89, 1: 0, 2: 89, 3: 0, 4: 103, 5: 0, 6: 0, 7: 0, 8: 4, 9: 1, 10: 0})
3   | (225, 1.24,   {0: 34, 1: 56, 2: 96, 3: 40, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 2, 10: 0})
4   | (16,  0.29,   {0: 3, 1: 5, 2: 5, 3: 4, 4: 3, 5: 4, 6: 1, 7: 8, 8: 3, 9: 3, 10: 5})
5   | (292, 2.24,   {0: 94, 1: 43, 2: 0, 3: 0, 4: 153, 5: 0, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
6   | (245, 0.31,   {0: 201, 1: 0, 2: 43, 3: 0, 4: 0, 5: 0, 6: 2, 7: 1, 8: 1, 9: 1, 10: 0})
7   | (201, 3.32,   {0: 0, 1: 0, 2: 0, 3: 39, 4: 2, 5: 104, 6: 55, 7: 6, 8: 0, 9: 1, 10: 4})
8   | (287, 4.50,   {0: 0, 1: 0, 2: 0, 3: 0, 4: 91, 5: 195, 6: 1, 7: 0, 8: 2, 9: 1, 10: 0})
9   | (233, 3.98,   {0: 0, 1: 1, 2: 0, 3: 0, 4: 49, 5: 105, 6: 77, 7: 2, 8: 0, 9: 1, 10: 1})
10  | (224, 2.75,   {0: 0, 1: 63, 2: 0, 3: 44, 4: 45, 5: 91, 6: 0, 7: 3, 8: 2, 9: 0, 10: 1})
11  | (279, 2.37,   {0: 87, 1: 41, 2: 0, 3: 0, 4: 94, 5: 54, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
12  | (108, 0.07,   {0: 105, 1: 58, 2: 2, 3: 3, 4: 1, 5: 1, 6: 1, 7: 2, 8: 1, 9: 2, 10: 4})
13  | (105, 0.03,   {0: 104, 1: 1, 2: 7, 3: 5, 4: 2, 5: 1, 6: 2, 7: 4, 8: 3, 9: 3, 10: 6})
14  | (120, 0.67,   {0: 1, 1: 172, 2: 7, 3: 0, 4: 1, 5: 1, 6: 0, 7: 3, 8: 11, 9: 2, 10: 1})
15  | (232, 3.13,   {0: 0, 1: 42, 2: 38, 3: 0, 4: 0, 5: 93, 6: 58, 7: 1, 8: 0, 9: 1, 10: 1})
16  | (286, 1.69,   {0: 103, 1: 0, 2: 94, 3: 36, 4: 53, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
