#batch_size = 10 | epochs = 40
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
0 | (279, 261, 288, 2.88,   {0: 0, 1: 0, 2: 91, 3: 105, 4: 92, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
1 | (274, 268, 281, 1.89,   {0: 99, 1: 0, 2: 82, 3: 0, 4: 99, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
2 | (274, 261, 288, 1.94,   {0: 0, 1: 97, 2: 87, 3: 104, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0})
3 | (266, 278, 290, 2.09,   {0: 92, 1: 0, 2: 90, 3: 0, 4: 104, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
4 | (275, 243, 283, 1.37,   {0: 94, 1: 92, 2: 55, 3: 0, 4: 0, 5: 42, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
5 | (258, 280, 255, 1.63,   {0: 42, 1: 77, 2: 0, 3: 135, 4: 1, 5: 0, 6: 1, 7: 0, 8: 2, 9: 0, 10: 0})
6 | (281, 281, 287, 1.89,   {0: 93, 1: 101, 2: 0, 3: 0, 4: 0, 5: 93, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
7 | (277, 260, 278, 1.86,   {0: 95, 1: 89, 2: 0, 3: 0, 4: 0, 5: 94, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
8 | (286, 244, 273, 3.32,   {0: 0, 1: 60, 2: 20, 3: 58, 4: 0, 5: 94, 6: 42, 7: 1, 8: 3, 9: 0, 10: 0})
9 | (251, 264, 285, 2.45,   {0: 93, 1: 44, 2: 0, 3: 0, 4: 55, 5: 91, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
10 | (267, 264, 276, 2.14,  {0: 42, 1: 93, 2: 38, 3: 0, 4: 48, 5: 53, 6: 0, 7: 0, 8: 1, 9: 2, 10: 0})
11 | (275, 272, 289, 2.08,  {0: 92, 1: 91, 2: 0, 3: 0, 4: 0, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
12 | (271, 266, 285, 3.42,  {0: 0, 1: 42, 2: 0, 3: 93, 4: 46, 5: 104, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
13 | (278, 258, 286, 3.77,  {0: 0, 1: 0, 2: 0, 3: 105, 4: 90, 5: 92, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
14 | (261, 249, 264, 2.98,  {0: 0, 1: 75, 2: 16, 3: 102, 4: 35, 5: 0, 6: 61, 7: 0, 8: 2, 9: 0, 10: 0})
15 | (279, 265, 289, 3.02,  {0: 90, 1: 0, 2: 0, 3: 0, 4: 93, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
16 | (257, 251, 263, 2.11,  {0: 0, 1: 59, 2: 71, 3: 103, 4: 30, 5: 0, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
17 | (279, 278, 290, 3.94,  {0: 0, 1: 0, 2: 0, 3: 91, 4: 94, 5: 103, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
18 | (264, 251, 277, 1.94,  {0: 80, 1: 101, 2: 0, 3: 0, 4: 0, 5: 96, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
19 | (278, 280, 275, 1.81,  {0: 104, 1: 78, 2: 0, 3: 0, 4: 0, 5: 93, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
20 | (250, 262, 275, 2.35,  {0: 0, 1: 38, 2: 102, 3: 82, 4: 53, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
21 | (275, 276, 285, 3.4,   {0: 0, 1: 0, 2: 42, 3: 95, 4: 94, 5: 52, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
22 | (273, 248, 284, 2.7,   {0: 104, 1: 0, 2: 0, 3: 0, 4: 94, 5: 86, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
23 | (300, 0, 17, 0.3,      {0: 0, 1: 13, 2: 20, 3: 6, 4: 4, 5: 5, 6: 2, 7: 7, 8: 7, 9: 4, 10: 0})
24 | (257, 200, 216, 2.24,  {0: 32, 1: 25, 2: 47, 3: 47, 4: 66, 5: 2, 6: 24, 7: 0, 8: 5, 9: 3, 10: 0})
25 | (287, 264, 284, 0.95,  {0: 94, 1: 94, 2: 96, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
26 | (283, 282, 289, 2.03,  {0: 90, 1: 0, 2: 95, 3: 0, 4: 103, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
27 | (300, 0, 33, 0.49,     {0: 0, 1: 14, 2: 2, 3: 0, 4: 2, 5: 6, 6: 3, 7: 12, 8: 7, 9: 7, 10: 0})
28 | (265, 281, 283, 1.02,  {0: 85, 1: 104, 2: 92, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 3, 10: 0})
29 | (281, 271, 287, 3.9,   {0: 0, 1: 0, 2: 0, 3: 90, 4: 94, 5: 100, 6: 0, 7: 0, 8: 3, 9: 1, 10: 0})
30 | (281, 243, 200, 2.2,   {0: 0, 1: 50, 2: 5, 3: 59, 4: 54, 5: 3, 6: 32, 7: 1, 8: 5, 9: 1, 10: 0})
